City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Erzin,TR,73.06,overcast clouds,36.9559,36.2,Artemis Otel
271,Soyo,AO,75.85,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
276,Atuona,PF,76.75,clear sky,-9.8,-139.0333,Villa Enata
277,Alyangula,AU,87.55,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
279,Puerto Escondido,MX,79.18,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
281,Tura,IN,83.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
282,Port Keats,AU,89.73,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
283,Antsohihy,MG,80.76,clear sky,-14.8796,47.9875,Hotel de Ville
285,Suyan,PH,86.31,overcast clouds,6.0603,125.3853,
289,Itoman,JP,82.42,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
293,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
296,Mukdahan,TH,79.83,broken clouds,16.5833,104.5,Ban Kham Phung
297,Lahaina,US,80.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
298,Languyan,PH,87.33,broken clouds,5.2618,120.0807,
299,Maragogi,BR,72.95,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
302,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
304,Katsuura,JP,74.53,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
308,Ixtapa,MX,82.22,overcast clouds,20.7,-105.2,hotel la terminal
317,Acapulco,MX,82.22,moderate rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
318,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
321,Galesong,ID,84.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
336,Balikpapan,ID,86.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
337,Marawi,PH,83.93,light rain,7.9986,124.2928,Derogongan Residence
338,Yeppoon,AU,74.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
340,Poum,NC,77.27,clear sky,-20.2333,164.0167,
345,Tessalit,ML,78.33,clear sky,20.1986,1.0114,
346,Bac Lieu,VN,85.41,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
347,Sao Filipe,CV,77.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
349,Coahuayana,MX,77.59,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
351,Meulaboh,ID,84.24,overcast clouds,4.1363,96.1285,Kost Pria
357,Akyab,MM,80.47,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
361,Narayanpet,IN,80.64,few clouds,16.7333,77.5,Vasundra tiffins
362,Mudhol,IN,80.2,broken clouds,16.35,75.2833,Hotel Surabhi
365,Gombong,ID,83.32,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
367,Dingle,PH,85.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
371,Karjat,IN,85.44,overcast clouds,18.9167,73.3333,Pinewood Resort Karjat
372,Hobyo,SO,79.84,light rain,5.3505,48.5268,Halane Hotel and Restaurent
374,Abu Dhabi,AE,88.97,scattered clouds,24.4667,54.3667,Beach Rotana
375,Hit,IQ,81.77,scattered clouds,33.6416,42.8251,المعلق حسان رزاق
377,Mareeba,AU,89.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
379,Quevedo,EC,75.2,overcast clouds,-1.0333,-79.45,Hotel Tuistico Ejecutivo
381,Tual,ID,84.2,moderate rain,-5.6667,132.75,Grand Vilia Hotel
383,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
384,Malim,PH,85.1,overcast clouds,7.452,123.4312,Malim
389,Sola,VU,81.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
390,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
391,Angoche,MZ,78.15,clear sky,-16.2325,39.9086,Guest House HESADA
392,Camapua,BR,75.34,overcast clouds,-19.5314,-54.0439,Comercial Estrela
393,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
394,Daru,PG,82.96,overcast clouds,-9.0763,143.2092,Daru Lodge
395,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
402,Weligama,LK,78.84,overcast clouds,5.9667,80.4167,Weligama Bay Resort
404,Beloha,MG,77.45,clear sky,-25.1667,45.05,
405,Boyolangu,ID,82.69,overcast clouds,-8.1181,111.8935,Yos ega cv
406,Tarakan,ID,87.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
408,Pokaran,IN,89.38,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
409,Buritis,BR,70.66,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
410,Taoudenni,ML,85.35,overcast clouds,22.6783,-3.9836,
413,Sakakah,SA,72.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
414,Auki,SB,83.61,scattered clouds,-8.7676,160.7034,Auki Motel
417,Belmonte,BR,71.29,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
420,Aden,YE,84.16,clear sky,12.7794,45.0367,Sama Emirate Hotel
423,Kutum,SD,70.47,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
425,Mataram,ID,85.01,heavy intensity rain,-8.5833,116.1167,Hotel Santika Mataram
428,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
429,Xiangxiang,CN,82.22,scattered clouds,27.7333,112.5333,Huatai International Hotel
432,Karatsu,JP,73.29,light rain,33.4425,129.9697,Niji no Matsubara Hotel
436,Ashqelon,IL,73.29,clear sky,31.6693,34.5715,Leonardo Ashkelon
437,Kambam,ID,84.18,overcast clouds,5.2505,96.8629,Rumah Rizkina Olshops
440,Kathu,TH,83.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
442,Gorontalo,ID,86.13,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
443,Catuday,PH,82.56,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
445,Gympie,AU,71.42,overcast clouds,-26.1898,152.665,Mary River Motor Inn
447,Bhadrak,IN,86.67,scattered clouds,21.0633,86.5054,Hotel bluevine
450,Luwuk,ID,85.14,light rain,-0.9516,122.7875,Hotel Santika Luwuk
451,Tezu,IN,86.36,clear sky,27.9167,96.1667,Circuit House
452,Rosetta,EG,74.07,clear sky,31.4044,30.4164,Green Valley
461,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Lamu House
463,Poya,NC,76.86,broken clouds,-21.35,165.15,
464,Fare,PF,78.66,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
465,Victor Harbor,AU,77.68,overcast clouds,-35.5667,138.6167,McCracken Country Club
469,Harlingen,US,80.51,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
470,Gigmoto,PH,86.63,overcast clouds,13.7796,124.39,Cj's Travellers Inn
471,Rawah,IQ,79.25,broken clouds,34.4816,41.9093,عمر
473,Manacapuru,BR,75.16,broken clouds,-3.2997,-60.6206,Novo Hotel
475,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
478,Luganville,VU,82.09,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
479,Vanimo,PG,84.13,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
485,Aransas Pass,US,82.4,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
486,Kaka,TM,74.71,clear sky,37.3482,59.6143,
491,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
492,Bandarbeyla,SO,79.54,clear sky,9.4942,50.8122,JABIR HOTEL
493,Araguaina,BR,79.74,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
497,Pochutla,MX,77.83,light rain,15.7432,-96.4661,Hotel Posada San Jose
498,Moussoro,TD,80.82,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
499,Mandera,KE,79.38,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
500,Porbandar,IN,89.58,clear sky,21.6422,69.6093,Lords Inn Porbandar
501,Namatanai,PG,85.19,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
504,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
510,Karachi,PK,89.42,smoke,24.9056,67.0822,Sadaat
516,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
517,Carutapera,BR,78.71,clear sky,-1.195,-46.02,Lidera
523,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
524,Alexandria,EG,74.34,scattered clouds,31.2156,29.9553,Royal Crown Hotel
525,Sorong,ID,83.8,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
534,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
535,Savannah Bight,HN,83.39,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
537,Panalingaan,PH,82.29,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
544,Mbini,GQ,75.42,broken clouds,1.574,9.6134,Candy Vista Mar Mbini
545,Axim,GH,75.4,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
549,Montepuez,MZ,71.8,broken clouds,-13.1256,38.9997,PembaAparthotel
550,Kattivakkam,IN,87.89,broken clouds,13.2167,80.3167,Euronova Freezer
551,Placido De Castro,BR,73.44,overcast clouds,-10.3353,-67.1856,Hotel Carioca
552,Tadine,NC,75.15,overcast clouds,-21.55,167.8833,
557,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
560,Sale,MA,72.64,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
561,Pontes E Lacerda,BR,74.19,clear sky,-15.2261,-59.3353,Hotel Bressan
562,Mogadishu,SO,79.41,broken clouds,2.0371,45.3438,Hotel Juba
564,Dagana,MR,82.0,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
569,Ballina,AU,74.01,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
572,Keti Bandar,PK,87.76,clear sky,24.1447,67.4497,Haji laloo memon house
574,Tiarei,PF,80.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
575,Manokwari,ID,84.22,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
576,Mopipi,BW,72.25,overcast clouds,-21.1833,24.8833,
577,Jaciara,BR,79.61,scattered clouds,-15.9653,-54.9683,Taba Hotel
578,Mocuba,MZ,76.23,clear sky,-16.8392,36.9856,Phama Lodge
579,Dalbandin,PK,81.52,clear sky,28.8947,64.4101,Sanjrani House
581,Candido Mendes,BR,76.59,clear sky,-1.4467,-45.7167,Quebrada Do Mlk PJL
584,Alta Floresta,BR,71.49,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
585,Gamba,GA,74.34,overcast clouds,-2.65,10.0,
588,Bambanglipuro,ID,82.9,overcast clouds,-7.95,110.2833,Puri Brata
595,Antalaha,MG,74.53,clear sky,-14.9003,50.2788,Hotel Vitasoa
604,Umm Kaddadah,SD,79.48,broken clouds,13.6017,26.6876,
606,Amalapuram,IN,86.34,overcast clouds,16.5833,82.0167,swayamprabha service apartments
607,Wanxian,CN,78.42,broken clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
612,Moa,CU,78.28,clear sky,20.6569,-74.9403,Carmen
617,Sinazongwe,ZM,78.75,scattered clouds,-17.2614,27.4618,Lakeview Lodge
621,Fuling,CN,77.5,few clouds,29.7022,107.3919,Yingbin Hostel
622,Eyl,SO,79.88,light rain,7.9803,49.8164,EYL AQUE SYSTEM
623,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
626,Delmas,HT,75.4,scattered clouds,18.5447,-72.3028,Idéal Villa Hôtel
627,Taybad,IR,74.35,clear sky,34.74,60.7756,لی پوش jean center
629,Ca Mau,VN,87.4,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
630,Bat Yam,IL,75.31,clear sky,32.0231,34.7503,Ruth Daniel Residence Hotel
635,Maumere,ID,84.96,moderate rain,-8.6199,122.2111,Sylvia Hotel
637,Limon,CR,76.05,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
642,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
649,Ambilobe,MG,80.31,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
651,Porto Velho,BR,73.45,moderate rain,-8.7619,-63.9039,Ecos Hotel Conforto
652,Jawhar,SO,81.86,scattered clouds,2.7809,45.5005,Hotel Shabelle
653,Lucea,JM,80.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
657,Mansoa,GW,77.2,broken clouds,12.0733,-15.3189,Hotel Uaque
664,Sheopur,IN,81.09,clear sky,25.6667,76.7,Shri Ram Dharmshala
665,Kalmunai,LK,83.21,overcast clouds,7.4167,81.8167,VS Villa
667,Tautira,PF,76.82,light rain,-17.7333,-149.15,Pension Oaoa
669,Varzea Da Palma,BR,70.45,clear sky,-17.5981,-44.7308,Casa Fernandes
674,Ascension,US,72.07,clear sky,30.2169,-90.9001,Highland Inn
681,Birjand,IR,72.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
682,Sabang,ID,81.43,overcast clouds,5.8933,95.3214,Hotel Citra
684,Salinopolis,BR,79.41,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
685,Champerico,GT,77.76,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
686,Thinadhoo,MV,81.21,overcast clouds,0.5333,72.9333,
689,Pyapon,MM,85.33,few clouds,16.2833,95.6833,Aung Naing Thu Motel
694,Ganzhou,CN,77.36,few clouds,28.8184,115.4327,Zhanqian Grand Hotel
696,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
