City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hervey Bay,AU,-25.2986,152.8535,68.02,90,94,5.99,light rain
79,Egvekinot,RU,66.3167,-179.1667,12.65,78,100,13.98,overcast clouds
80,Yellowknife,CA,62.456,-114.3525,32.56,76,20,11.99,few clouds
81,Vredendal,ZA,-31.6683,18.5012,59.68,87,2,0.69,clear sky
82,Rumonge,BI,-3.9736,29.4386,76.51,63,96,3.2,overcast clouds
83,Srednekolymsk,RU,67.45,153.6833,9.27,90,42,1.07,scattered clouds
84,Hilo,US,19.7297,-155.09,80.28,85,75,4.61,broken clouds
85,Port Blair,IN,11.6667,92.75,80.31,81,100,10.63,overcast clouds
86,Salalah,OM,17.0151,54.0924,86.09,32,20,0.0,few clouds
87,Udachnyy,RU,66.4167,112.4,23.79,92,100,2.82,overcast clouds
88,Samarai,PG,-10.6167,150.6667,82.09,80,71,11.83,broken clouds
89,Kapaa,US,22.0752,-159.319,82.38,80,20,9.22,few clouds
90,Swan Hill,AU,-35.3378,143.5544,66.29,47,92,4.27,overcast clouds
91,Luhyny,UA,51.082,28.4006,43.5,59,61,8.57,broken clouds
92,Imeni Poliny Osipenko,RU,52.4201,136.4853,39.24,47,79,12.28,broken clouds
93,Nevinnomyssk,RU,44.6267,41.9453,51.15,85,100,13.82,overcast clouds
94,Mindelo,CV,16.8901,-24.9804,74.75,73,20,6.91,few clouds
95,Makakilo City,US,21.3469,-158.0858,79.12,68,0,6.91,clear sky
96,Nanortalik,GL,60.1432,-45.2371,34.66,70,38,9.31,scattered clouds
97,Barrow,US,71.2906,-156.7887,30.22,86,100,23.02,light snow
98,Sandorfalva,HU,46.3609,20.0989,52.43,59,14,5.61,few clouds
99,Zhigansk,RU,66.7697,123.3711,20.84,90,13,6.91,few clouds
100,San Policarpo,PH,12.1791,125.5072,85.51,76,83,0.85,broken clouds
101,Nautla,MX,20.2167,-96.7833,77.9,87,15,4.68,few clouds
102,Miguel Hidalgo,MX,19.4225,-99.2028,65.59,75,100,6.91,overcast clouds
103,Port Alfred,ZA,-33.5906,26.891,70.57,80,100,7.52,overcast clouds
104,Chinhoyi,ZW,-17.3667,30.2,70.45,47,12,10.71,few clouds
105,Bogorodskoye,RU,56.55,37.8833,42.04,68,100,15.59,overcast clouds
106,Le Port,RE,-20.9373,55.2919,79.25,52,30,1.59,scattered clouds
107,Vero Beach,US,27.6386,-80.3973,79.99,79,20,5.75,few clouds
108,Lata,PT,40.1629,-8.3327,65.8,83,97,4.9,overcast clouds
109,Ilulissat,GL,69.2167,-51.1,37.42,70,100,1.14,overcast clouds
110,Northam,GB,51.0333,-4.2167,55.62,90,72,16.71,broken clouds
111,Jalu,LY,29.0331,21.5482,63.43,71,0,7.92,clear sky
112,Cherskiy,RU,68.75,161.3,1.08,97,38,5.21,scattered clouds
113,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,10.36,broken clouds
114,Leshukonskoye,RU,64.8989,45.7622,43.03,92,99,9.84,overcast clouds
115,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.33,59,30,4.63,scattered clouds
116,Tashigang,BT,27.3331,91.5542,80.85,27,4,5.46,clear sky
117,Fortuna,US,40.5982,-124.1573,56.08,89,0,6.91,clear sky
118,Kholtoson,RU,50.2981,103.3097,44.01,22,3,3.6,clear sky
119,Puerto Asis,CO,0.5133,-76.5007,68.83,99,78,1.03,broken clouds
120,Banda Aceh,ID,5.5577,95.3222,85.14,65,98,15.23,light rain
121,Hamilton,US,39.1834,-84.5333,54.23,54,75,10.36,broken clouds
122,Carnduff,CA,49.1667,-101.8009,33.39,27,35,6.55,scattered clouds
123,Bilma,NE,18.6853,12.9164,74.14,33,0,12.73,clear sky
124,Saskylakh,RU,71.9167,114.0833,17.55,91,74,14.52,broken clouds
125,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,81.12,27,38,3.89,scattered clouds
126,Biak,ID,-0.9131,122.8766,82.53,74,83,1.63,moderate rain
127,Puerto Leguizamo,CO,-0.1934,-74.7819,68.94,95,99,0.51,overcast clouds
128,Tuatapere,NZ,-46.1333,167.6833,50.22,79,100,7.7,overcast clouds
129,Bubaque,GW,11.2833,-15.8333,80.49,75,98,8.63,overcast clouds
130,Urumqi,CN,43.801,87.6005,59.95,23,0,2.24,clear sky
131,Upernavik,GL,72.7868,-56.1549,36.61,97,100,11.77,light rain
132,Booue,GA,-0.0921,11.9385,68.7,99,66,1.07,broken clouds
133,Dikson,RU,73.5069,80.5464,31.14,98,100,12.15,light snow
134,Erenhot,CN,43.6475,111.9767,42.93,18,0,15.3,clear sky
135,Faanui,PF,-16.4833,-151.75,78.69,72,9,14.5,clear sky
136,Ugoofaaru,MV,5.6667,73.0,81.05,80,100,20.38,overcast clouds
137,Datong,CN,40.0936,113.2914,44.65,17,0,7.29,clear sky
138,Vista Hermosa,MX,19.5167,-99.2167,65.55,73,100,6.91,overcast clouds
139,Bereda,ES,43.2686,-7.5406,58.41,100,100,1.54,light rain
140,Nome,US,64.5011,-165.4064,35.67,81,100,8.05,light rain
141,Ha Tinh,VN,18.3333,105.9,81.34,57,29,15.82,scattered clouds
142,Saint-Pierre,RE,-21.3393,55.4781,78.91,61,0,16.11,clear sky
143,Koper,SI,45.5469,13.7294,58.12,90,17,5.75,mist
144,Hovd,MN,48.0056,91.6419,46.76,24,91,3.13,overcast clouds
145,Prince Albert,CA,53.2001,-105.7677,32.58,36,67,8.28,broken clouds
146,Solnechnyy,RU,50.7214,136.6319,36.3,60,100,7.09,overcast clouds
